대출일자,대출기한,대출유형,반납일자,연체일수,소속,신분,변동,학년,등록번호,서명,저자,출판사,청구기호
2024-01-22 13:41:44,2024-02-06,일반,2024-03-07 15:00:32,0,스마트소프트웨어학과,조교,재직(학),,EM088232,혼자 공부하는 자바 :1:1 과외하듯 배우는 프로그래밍 자습서  ,신용권,"한빛미디어,", 005.133신66ㅎc.34
2024-01-22 13:41:44,2024-02-06,일반,2024-03-20 13:32:48,0,스마트소프트웨어학과,조교,재직(학),,EM088229,혼자 공부하는 자바 :1:1 과외하듯 배우는 프로그래밍 자습서  ,신용권,"한빛미디어,", 005.133신66ㅎc.31
2024-01-22 13:41:45,2024-02-06,일반,2024-03-20 13:32:53,0,스마트소프트웨어학과,조교,재직(학),,EM088204,혼자 공부하는 자바 :1:1 과외하듯 배우는 프로그래밍 자습서  ,신용권,"한빛미디어,", 005.133신66ㅎc.6
2024-01-22 13:42:14,2024-02-06,일반,2024-03-20 13:40:52,0,스마트소프트웨어학과,조교,재직(학),,EM088230,혼자 공부하는 자바 :1:1 과외하듯 배우는 프로그래밍 자습서  ,신용권,"한빛미디어,", 005.133신66ㅎc.32
2024-01-22 14:30:05,2024-01-29,일반,2024-01-25 10:47:31,0,스마트소프트웨어학과,학생,휴직(학),,EM088645,(사랑이 어렵고 관계에 지칠 때 알아야 할) 사랑에 관한 거의 모든 기술 ,김달,"빅피시,", 182.2김221ㅅ
2024-01-22 15:17:36,2024-01-29,일반,2024-01-23 09:41:48,0,전기전자공학과,학생,퇴직(졸업),,EM083859,"행복한 자살되세요, 해피 뉴이어  ","빌누아지, 소피 드,",소담출판사 :, 863빌217ㅎKㅇ
2024-01-23 17:45:15,2024-01-30,일반,2024-01-24 12:35:31,0,전기전자공학과,학생,퇴직(졸업),,EM061822,용의자 X의 헌신 / ,히가시노 게이고.,"현대문학,", 833.6히11ᄋKㅇ
2024-01-24 12:36:59,2024-01-31,일반,2024-01-30 12:05:59,0,전기전자공학과,학생,퇴직(졸업),,EM068799,악의  ,히가시노 게이고,"현대문학,", 833.6히11ㅇKㅇ
2024-01-24 12:48:51,2024-01-31,일반,2024-02-02 10:21:41,0,전기전자공학과,학생,퇴직(졸업),,EM062281,데미안  ,민음사,"민음사,", 808민68ㅅv.44
2024-01-24 12:50:19,2024-01-31,일반,2024-02-02 09:40:00,0,전기전자공학과,학생,퇴직(졸업),,EM080171,"(민음)세계문학전집  .21,파우스트1",민음사,"민음사,", 808민68ᄉv.21c.2
2024-01-24 14:33:16,2024-02-08,일반,2024-03-07 15:00:35,0,스마트소프트웨어학과,조교,재직(학),,EM088654,혼자 공부하는 자바 ,신용권,"한빛미디어,", 005.133신66ㅎc.41
2024-01-25 15:43:57,2024-02-01,일반,2024-02-01 13:32:10,0,기계공학과,학생,재직(학),,EM088535,대학 때 놓친 수학 2/e ,"개리티, 토마스 A.","에이콘,", 410개239ㄷKㅈ
2024-01-25 17:01:58,2024-02-09,일반,2024-01-30 13:13:50,0,산학협력단,직원,퇴직(졸업),,EM085646,나는 단호해지기로 결심했다:타인에게 휘둘리지 않고 나를 지키는 관계 심리학 ,"젤린, 롤프","걷는나무,", 189.2젤239ㄴKㅂ
2024-01-26 11:09:19,2025-01-25,장기,2024-08-27 12:00:04,0,스마트소프트웨어학과,교원(전임),재직(학),,EM088659,라즈베리 파이로 배우는 컴퓨터 아키텍처 :라즈베리 파이 제작자가 알려주는 컴퓨터 동작 원리와 시스템 디자인  ,임지순,"위키북스,", 005.11임79ㄹ
2024-01-26 11:09:21,2025-01-25,장기,,,스마트소프트웨어학과,교원(전임),재직(학),,EM085545,(파이썬을 활용한) 딥러닝 전이학습 :transfer learning으로 빠르고 손쉽게 구축하는 고급 딥러닝 모델  ,"Sarkar, Dipanjan","위키북스,", 004.73사238ㅍKㅅ
2024-01-26 11:09:22,2025-01-25,장기,2024-08-27 12:00:06,0,스마트소프트웨어학과,교원(전임),재직(학),,EM088661,모두를 위한 컴퓨터와 프로그래밍 지식 :IT세상을 이해하기 위한 열쇠  ,이연우,"위키북스,", 005.1이64ㅁ
2024-01-26 11:09:23,2025-01-25,장기,,,스마트소프트웨어학과,교원(전임),재직(학),,EM088657,실전! 컴퓨터비전을 위한 머신러닝 :텐서플로와 케라스를 활용한 머신러닝 기반 이미지 처리 완벽 가이드  ,"Lakshmanan, Valliappa","위키북스,", 004.77L192실
2024-01-26 11:09:25,2025-01-25,장기,,,스마트소프트웨어학과,교원(전임),재직(학),,EM088655,(실전! 텐서플로2를 활용한) 딥러닝 컴퓨터 비전 :텐서플로 2.0과 케라스를 활용한 강력한 이미지 처리 애플리케이션 만들기  ,"Planche, Benjamin","위키북스,", 004.73P699딥
2024-01-26 14:18:41,2024-02-10,일반,2024-02-19 09:42:48,0,보건실,직원,퇴직(졸업),,EM088080,바다가 들리는 편의점 ,마치다 소노코,"모모,", 833.6마819ㅂKㅎ
2024-01-30 13:02:00,2024-02-09,일반,2024-02-13 09:10:36,0,도서관,사회교육생,퇴사,,EM087886,주의력 연습:끊임없는 생각과 계획에 중독된 현대인을 위한 주의력 사용설명서 ,"자, 아미시","어크로스,", 181.3자61ㅈKㅇ
2024-01-30 13:25:32,2024-02-14,일반,2024-02-26 09:48:52,0,산학융복합교육센터,직원,퇴직(졸업),,EM088579,(5천 년 역사가 단숨에 이해되는)최소한의 한국사 ,최태성,"프런트페이지,", 911최832ㅊ
2024-01-30 13:25:32,2024-02-14,일반,2024-02-14 13:05:57,0,산학융복합교육센터,직원,퇴직(졸업),,EM088248,꿀벌의 예언 .1,베르나르 베르베르,"열린책들,", 863베238ㄲv.1
2024-01-30 16:50:49,2024-02-06,일반,2024-02-05 15:19:26,0,스마트전기전자공학과,학생,퇴직(졸업),,EM088621,(해커스) 20대기업 인적성 :최신기출유형 + 실전문제  ,"해커스,",해커스잡 :, 325.337해8232
2024-01-31 13:28:23,2024-02-10,일반,2024-02-16 17:31:42,3,도서관,사회교육생,퇴사,,EM088591,나는 배당투자로 매일 스타벅스 커피를 공짜로 마신다 ,송민섭,"21세기북스,", 327.856송39ㄴ
2024-02-01 13:23:06,2024-02-08,일반,2024-06-16,129,스마트소프트웨어학과,학생,퇴직(졸업),,EM088448,(기본이론과 실무예제로 새롭게 꾸민) easy ABAP 2.0  ,김성준,"프리렉,", 005.13김53e
2024-02-01 13:33:42,2024-02-08,일반,2024-02-15 15:28:03,7,기계공학과,학생,재직(학),,EM088535,대학 때 놓친 수학 2/e ,"개리티, 토마스 A.","에이콘,", 410개239ㄷKㅈ
2024-02-02 09:40:41,2024-02-09,일반,2024-02-13 10:18:44,0,전기전자공학과,학생,퇴직(졸업),,EM080148,"(민음)세계문학전집  .5,동물농장",민음사,"민음사,", 808민68ᄉv.5c.2
2024-02-02 12:40:28,2024-02-09,일반,2024-02-05 12:44:08,0,스마트소프트웨어학과,학생,휴직(학),,EM084486,빌어먹을 감정 날려버리기 :온갖 짜증나는 문제에서 벗어나 되는 일에만 집중하는 기술  ,"베넷, 마이클","위즈덤하우스 미디어그룹,", 181.7베213ㅂkㅂ
2024-02-02 13:23:22,2024-02-09,일반,2024-02-16 16:43:52,0,전기전자공학과,학생,퇴직(졸업),,EM080164,"(민음)세계문학전집 .75 ,위대한 개츠비 ",민음사,"민음사,", 808민68ᄉv.75c.4
2024-02-02 15:18:30,2024-02-09,일반,2024-02-22 13:32:31,2,기계공학과,학생,휴직(학),,EM087051,(2022)에듀윌 산업안전산업기사 필기 한권끝장:이론편 + 기출문제편 ,최창률,"에듀윌,", 530.98077최811ㅇ
